61741.18    60024.469    7228.2349
63156.711    60590.68    6709.208
64076.301    60470.211    6457.2241
64265.039    59337.789    6598.7759
64453.77    58205.359    6740.3301
64642.512    57072.941    6881.8818
64831.25    55940.52    7023.4351
65019.98    54808.09    7164.9878
64746.922    53260.051    7398.9019
64463.809    51702.961    7634.8242
64180.711    50145.879    7870.7451
63897.602    48588.801    8106.667
63614.488    47031.719    8342.5879
63614.488    47031.719    8342.5879
63592.41    45605.141    8474.1016
63781.141    44283.98    8521.2861
63969.879    42962.82    8568.4707
64158.621    41641.66    8615.6553
64347.359    40320.5    8662.8389
64415.621    38993.32    8704
63660.68    37624.969    8704
62905.73    36256.629    8704
62905.73    36256.629    8704
62150.781    34888.281    8704
61395.828    33519.941    8704
60640.879    32151.59    8704
60283.48    30882.631    8704
60094.75    29655.84    8704
59906.012    28429.051    8704
59717.27    27202.26    8704
59717.27    27202.26    8704
59528.539    25975.471    8704
59339.801    24722.57    8704
59151.059    23401.41    8704
58962.32    22080.25    8704
58773.59    20759.09    8704
58773.59    20759.09    8704
58584.852    19437.93    8704
58396.109    18116.77    8704
58287.691    17197.18    8704
58193.32    16347.86    8704
58193.32    16347.86    8704
58098.949    15498.54    8704
58004.578    14649.22    8704
57910.211    13799.91    8704
57795.77    12267.92    8704
57795.77    12267.92    8704
57654.211    9814.3369    8704
57512.66    7360.7529    8704
57512.66    7360.7529    8704
57371.109    4907.168    8704
57229.551    2453.584    8704
57229.551    2453.584    8704
57088    0    8704
